URL,Book,Text,hdr1,hdr2,tildeinfo,note,lines,metadata,data,region,stoich,sinistr,subregion,date,other_info_0,other_info_1,other_info_2
/text/152175?location=1&patt=&bookid=140&offset=8&count=4&bookid=140&location=1,IGBulg V,5891,Regions,IGBulg V 5891,,,7,"below relief.1



5

","Γ(αίῳ) Σεου̣ή̣ρῳ Π[ρ]όκλῳ παλαι-
στρατιώτῃ καὶ Αὐρ(ηλίᾳ) ․․․․․․․․ {²⁷Οὐηρούλε(?) (Gerov)}²⁷
καὶ Καλ․․․․․ {²⁷Κάλπ̣ῃ(?) Α̣ὐ̣ρ̣(ήλιος) (Gerov)}²⁷ [Γ]ά̣ιος Πρόκ(λος)
ὀπτίων λεγιῶ̣[νος] αʹ Ἰταλικῆ[ς]
λεγ(ιῶνος) γʹ Αὐγόσ̣[της {²⁶Αὐγούστης}²⁶ καὶ Γ]άιος Σεουῆ[ρος]
οἱ υεἱοὶ αὐτῶ[ν ἐ]π̣οίησαν [ἐκ τῶν]
ἰ̣δίω̣[ν — — —].",Makedonia (Sintike),,,Neine (G. Gradeshnitsa-Ilindentsi),bef. 238 AD,Kresna,bef. 238 AD,SEG 31.626
/text/152176?location=1&patt=&bookid=140&offset=8&count=4&bookid=140&location=1,IGBulg V,5892,Regions,IGBulg V 5892,,,4,"1


","Οὐαλερία
[Ἰ]οῦστα ἱέρι-
α ἀνέθη<κ>εν̣
ἔτους ζξσʹ.",Makedonia (Sintike),,,Neine (G. Gradeshnitsa-Ilindentsi),235/236 AD,Kresna,235/236 AD,SEG 47.1064
/text/152177?location=1&patt=&bookid=140&bookid=140&location=1,IGBulg V,5894,Regions,IGBulg V 5894,,,4,"1


","ἀγαθῇ τύχῃ.
κατὰ τὸ δόξαν τῇ κρα-
τίστῃ βουλῇ Τιβερι-
ανὸν Ποσιδώνιον.",Makedonia (Sintike),,,Parthikopolis (Sandanski),undated,,,
/text/152178?location=1&patt=&bookid=140&offset=13&count=4&bookid=140&location=1,IGBulg V,5896,Regions,IGBulg V 5896,,,9,"1



5



","Μ(ᾶρκος) Αὐρ(ήλιος) Καπι-
τωνιανὸς
Ἀλέξανδρος
καὶ Τερεντι-
ανὴ Ἰουλία
ἀρχιερασάμ[ε]-
νοι τοὺς τῆς
στοᾶς κειόνας
τῇ πατρίδι.",Makedonia (Sintike),,,Parthikopolis (Sandanski),after 210 AD,after 210 AD,SEG 32.677,
/text/152179?location=1&patt=&bookid=140&offset=13&count=4&bookid=140&location=1,IGBulg V,5897,Regions,IGBulg V 5897,,,11,"
1



5




10","[— — — — —]
[— — — — τὸν]
[β]ω̣μὸν Π(όπλιος) Α̣[ἴ]-
[λι]ο̣ς Λονγ̣[εῖ]-
[νο]ς στρατ[ι]-
[ώτ]ης πραιτ̣[ω]-
[ρια]νὸς ἀνέ-
[θη]κεν. ❦
[ἔ]τ̣ους αορʹ σ[ε]-
[βα]στοῦ τοῦ
[κ]αὶ ζπσʹ.",Makedonia (Sintike),,,Parthikopolis (Sandanski),139/140 AD,139/140 AD,,
/text/152180?location=1&patt=&bookid=140&offset=13&count=4&bookid=140&location=1,IGBulg V,5898,Regions,IGBulg V 5898,,,11,"below relief.col. I.1

col. II.1

col. III.1

col. IV.1



below.3","Πανακίῃ
Δεσποίνῃ
Σωτῆρι
Ἀσκληπιῷ
Ὑγίᾳ Βασι-
λίσσῃ
Τελε-
σφόρῳ
συ[νε]ργ-
ο[— — —]
Ἄντων Ἄντωνος.",Makedonia (Sintike),,,Parthikopolis (Sandanski),undated,SEG 47.1080,,
/text/152181?location=1&patt=&bookid=140&offset=13&count=4&bookid=140&location=1,IGBulg V,5899,Regions,IGBulg V 5899,,,9,"above wreaths.1

left wreath.1

right wreath.1



5","[θεῶι] Ἥρωι οἱ συνκλῖται ν̣έ̣[οι]

{²titulus erasus}²

〚— — — —〛
〚[— — —]ς̣〛
Πιερίωνος
Ἀπολλωνί-
ου.",Makedonia (Sintike),,,Parthikopolis (Sandanski),Rom. Imp. period,SEG 31.638,,
/text/152182?location=1&patt=&bookid=140&offset=17&count=12&bookid=140&location=1,IGBulg V,5901,Regions,IGBulg V 5901,,,5,"1



5","Παράμον[ος]
Δημέου̣
θεῶι Σαληνῳ
εὐξάμενος.
ἔτους #⁵⁶ νσʹ. ❦",Makedonia (Sintike),,,Parthikopolis (Sandanski),218/219 AD,218/219 AD,SEG 34.714,
/text/152183?location=1&patt=&bookid=140&offset=17&count=12&bookid=140&location=1,IGBulg V,5902,Regions,IGBulg V 5902,,,7,"1



5

lower margin.7","θεῷ Σαλη-
νῳ ἐπηκόῳ
Αὐρήλιος ❦
Βάρβαρος εὐ-
ξάμενος ἀ-
νέθηκεν.
ἔτους α̣ξσʹ σεβ(αστοῦ). ❦",Makedonia (Sintike),,,Parthikopolis (Sandanski),229/230 AD,229/230 AD,SEG 34.715,
/text/152184?location=1&patt=&bookid=140&offset=17&count=12&bookid=140&location=1,IGBulg V,5903,Regions,IGBulg V 5903,,,7,"1



5

lower margin.7","θεῷ Σαλη-
νῳ ἐπηκό-
ῳ Εὔτυχος
δοῦλος Γρανί-
ου Καμπανοῦ
εὐξάμενος.
ἔτους #⁵⁶ αξσʹ #⁵⁶ σεβ(αστοῦ).",Makedonia (Sintike),,,Parthikopolis (Sandanski),229/230 AD,229/230 AD,SEG 34.716,
/text/152185?location=1&patt=&bookid=140&offset=17&count=12&bookid=140&location=1,IGBulg V,5904,Regions,IGBulg V 5904,,,9,"upper margin.1
lower field.2


5



","[ἀγ]αθῇ τύχῃ.
Καπιτωνιανὸς
Φίλιππος ὁ καὶ
Λιβάνις θεῷ
Σαληνῳ εὐ-
χῆς χάριν ἀνέθη-
κα. ἔτους <δ>οσʹ σε-
βαστοῦ τοῦ καὶ ϙτʹ, Δύστρ-
ου.",Makedonia (Sintike),,,Parthikopolis (Sandanski),243 AD,243 AD,SEG 34.718,
/text/152186?location=1&patt=&bookid=140&offset=17&count=12&bookid=140&location=1,IGBulg V,5905,Regions,IGBulg V 5905,,,5,"1



5","ἀγαθῇ τύ̣[χῃ].
θεῷ Σαληνωι̣
Ἡρακλείδης
εὐξάμενος.
εὐτυχῶς.",Makedonia (Sintike),,,Parthikopolis (Sandanski),ca. 200-250 AD,ca. 200-250 AD,SEG 34.717,
/text/152187?location=1&patt=&bookid=140&offset=17&count=12&bookid=140&location=1,IGBulg V,5906,Regions,IGBulg V 5906,,,4,"1


","οἱ οἰκέται τ̣[ὸν]
βωμὸν τῷ θεῷ
ὑπὲρ αὐτοῦ εὐ-
ξάμενοι ἀνέθηκαν.",Makedonia (Sintike),,,Parthikopolis (Sandanski),ca. 200-250 AD,ca. 200-250 AD,SEG 34.719,
/text/152188?location=1&patt=&bookid=140&offset=17&count=12&bookid=140&location=1,IGBulg V,5907,Regions,IGBulg V 5907,,,6,"
1



5","[— — — —]
․ο[— — —]
σπο [Ἰου]-
λιανὸ<ς> [εὐξά]-
μενος.
ἔτους [—ʹ].",Makedonia (Sintike),,,Parthikopolis (Sandanski),ca. 200-250 AD,ca. 200-250 AD,SEG 34.720,
/text/152189?location=1&patt=&bookid=140&offset=17&count=12&bookid=140&location=1,IGBulg V,5908,Regions,IGBulg V 5908,,,4,"
1

","[— — — — — — — —]
ΑΥ[— — — — — — —]
ΡΚΟ[— — — ἀνέθηκ]-
εν.",Makedonia (Sintike),,,Parthikopolis (Sandanski),ca. 200-250 AD,ca. 200-250 AD,SEG 34.721,
/text/152190?location=1&patt=&bookid=140&offset=17&count=12&bookid=140&location=1,IGBulg V,5909,Regions,IGBulg V 5909,,,2,"1
","[θεῷ Σ]α̣ληνῳ ε̣ὐχὴν
Ἑρμίας ἀνέθηκε<ν>.",Makedonia (Sintike),,,Parthikopolis (Sandanski),ca. 200-250 AD,ca. 200-250 AD,SEG 34.722,
/text/152191?location=1&patt=&bookid=140&offset=17&count=12&bookid=140&location=1,IGBulg V,5910,Regions,IGBulg V 5910,,,2,"1
","Ἰσιδωριανὸς #⁵⁶ Ζωΐλος ΟΙ̣[— —]
τὸν εὐεργέτην.",Makedonia (Sintike),,,Parthikopolis (Sandanski),ca. 200-250 AD,ca. 200-250 AD,SEG 34.723,
/text/152192?location=1&patt=&bookid=140&offset=17&count=12&bookid=140&location=1,IGBulg V,5911,Regions,IGBulg V 5911,,,1,below relief.1,[— — —]νου[— — —].,Makedonia (Sintike),,,Parthikopolis (Sandanski),ca. 200-250 AD,ca. 200-250 AD,SEG 34.724,
/text/152193?location=1&patt=&bookid=140&offset=17&count=12&bookid=140&location=1,IGBulg V,5912,Regions,IGBulg V 5912,,,2,"below relief.1
","{²vestigia}²
[— — ἀνέθηκ]εν.",Makedonia (Sintike),,,Parthikopolis (Sandanski),ca. 200-250 AD,ca. 200-250 AD,SEG 34.725,
/text/152194?location=1&patt=&bookid=140&offset=29&count=2&bookid=140&location=1,IGBulg V,5915,Regions,IGBulg V 5915,,,4,"below relief.1


","Π̣άννυχος Θεοδώρᾳ τῇ γλυκυ-
τάτῃ συμβίῳ μνείας χάριν
καὶ ἑαυτῷ ζῶν.
ἔτους v ϛμσ. ❦",Makedonia (Sintike),,,Parthikopolis (Sandanski),214/215 AD,214/215 AD,SEG 47.1081,
/text/152195?location=1&patt=&bookid=140&offset=29&count=2&bookid=140&location=1,IGBulg V,5916,Regions,IGBulg V 5916,,,3,"above relief.1

","τῇ γυνεκὶ κὲ τέκνῳ
μνήμης χ-
άριν.",Makedonia (Sintike),,,Parthikopolis (Sandanski),undated,SEG 47.1082,,
/text/152196?location=1&patt=&bookid=140&bookid=140&location=1,IGBulg V,5918,Regions,IGBulg V 5918,,,4,"below relief.1


","Δειδος Πυρουλᾳ τῷ πατρ[ί],
Ζαιβαλῳ, Πυρουλᾳ τῷ ὑῷ {²⁶υἱῷ}²⁶,
Πυρουλᾳ τῷ μεικρῷ ζῶν ἐπύ-
ειν {²⁶ἐποίει}²⁶.",Makedonia (Sintike),,,Parthikopolis (Sandanski),undated,Laskarevo: Koriloto,undated,
/text/152197?location=1&patt=&bookid=140&offset=32&count=7&bookid=140&location=1,IGBulg V,5921,Regions,IGBulg V 5921,,,3,"above relief.1

","Σκαιδενθῃ, Πυρουλᾳ, Τωκῳ
μνήμης
χάριν.",Makedonia (Sintike),,,Rupite (formerly Muletarovo),undated,Kozhuh,undated,
/text/152198?location=1&patt=&bookid=140&offset=32&count=7&bookid=140&location=1,IGBulg V,5922,Regions,IGBulg V 5922,,,9,"1



5



","αξσʹ.
[Παρα]μ̣όνῳ
Μάρκου
Διονύσιος
Ἀσκληπῆ
Ἀλέξανδρος
[Φ]ι̣λ̣ίππου
Ἀσκληπίδ[ης]
Διοδόρου(?) {²⁶Διοδώρου}²⁶.",Makedonia (Sintike),,,Rupite (formerly Muletarovo),229/230 AD,Aydaritsa,229/230 AD,SEG 33.546
/text/152199?location=1&patt=&bookid=140&offset=32&count=7&bookid=140&location=1,IGBulg V,5923,Regions,IGBulg V 5923,,,2,"1
","ἐκ τῶν τῆς θεοῦ ∙ χρημάτων ∙ ἀγωνο-
θετοῦντος ∙ Τι(βερίου) ∙ Κλαυδίου Βακχίου. ❦",Makedonia (Sintike),,,Rupite (formerly Muletarovo),mid. 2nd c. AD,Tsarkva,mid. 2nd c. AD,SEG 33.545
/text/152200?location=1&patt=&bookid=140&offset=32&count=7&bookid=140&location=1,IGBulg V,5924,Regions,IGBulg V 5924,,,6,"1



5
","ἀγαθῆι τύχηι.
ἱερατευομένου Ἀντ(ωνίου) Γεμέ<λλ>ου Βά-
λης Εὐάνγελος γερουσιαστὴς
ἐπιμελούμενος τοῦ ἱεροῦ τὸν
βωμὸν ἐκ τῶν ἰδίων.
εὐτυχῶς.",Makedonia (Sintike),,,Rupite (formerly Muletarovo),2nd/3rd c. AD,Orbelos (Belasitsa),2nd/3rd c. AD,SEG 31.635
/text/152201?location=1&patt=&bookid=140&offset=32&count=7&bookid=140&location=1,IGBulg V,5925,Regions,IGBulg V 5925,,,22,"
1



5




10




15




20
","[— — — — — — — ? — — — — — — —]
[— — — — — — — —]ου τοῦ Ἀσκληπᾶ
[— — — — — Δημή]τριος Ἀσκληπᾶ χαίρειν·
[— — — — — — — —]ς δεδώρημαι τῇ εὐσεβε[ῖ {²⁷εὐσεβε[στάτῃ]}²⁷ — —]
[— — — — — — — —] διὰ χρηματισμοῦ Η̣[— — — — — — — — — — — —]
[— — — — — — — —]ου τῷ ἀργυροταμ̣[ίᾳ] ὑμῶν παρὰ ΚΛ[— {²⁷ΚΑ[— —]}²⁷ — —]
[— — — — — — — —]ΙΤΑΙ τὸ κεφάλ̣αιον τ̣ῇ γερουσίᾳ παν[— — — — —]
[— — — — — — — —]ΤΑΙ σώζεσθαι ὑμᾶς εὔχομαι κυρι[— — — — — —]
[— — — — — — — —]Λ̣Ι̣ΛϹΚΑ̣Τ̣ΟΥ διακόσιος τοῦ σεβαστοῦ [— — — —] {²⁷[ἔτους — — κ]α̣ὶ̣ δ̣ε̣κά̣τ̣ου διακοσιοστοῦ σεβαστοῦ(?)}²⁷
[— — — — μαρτυρ(?)]ῶ̣ν Δημήτριος Ἀσκληπᾶ, Ἡρακλέω[ν — — — —]
[— — — — — — — — —]Ν․ΜΟΝΙ φαμὲν ὃσς τὸ ΜΝΙΜΝΛΗΙΙ[— — — —]
[— — — — — — — — δ]ι̣δόναι ἑαυτὸν τῇ σήμερον ἡμέ[ρᾳ — — — — —]
[— — — — — — — — — Ἡ]ράκωντος τοῦ ἐπιμελητοῦ Π̣Υ̣Ι[— — — — —]
[— — — — — — — — — — —]Λ̣ΥϹΙΑϹ ἐφ’ ᾧ τῶν προγεγραμμ[ένων — —]
[— — — — — — — — — — — — — —]μονικοῖς καὶ ῥόδοις οἱ γε[— — — —]
[— — — — — — — — — — — — — κα(?)]ὶ τῶν προγόνων αὐτῶν [— — —]
[— — — — — — — — — — — — — — — —]ΟΥϹ τὸν τόκον δίδω[μι — — —]
[— — — — — — — — — — — — — — — —] γέγραπται Ἡράκων [— — — —]
[— — — — — — — — — — — — — — — — τ]ὸ ἀργύριον μαρτυ[ρ— — — —]
[— — — — — — — — — — — — — — — — — —]ς Ἡρᾶ μαρτυρῶν [— — —]
[— — — — — — — — — — — — — — — — — —] Ἡ̣ρᾶ [— — — — — — — —]
[— — — — — — — — — — — — — — — — — — — — — — — — — — — —]",Makedonia (Sintike),,,Prov. unkn. (Mid. Strymon R. Valley),181-188 AD?,181-188 AD?,SEG 47.1107,
/text/152202?location=1&patt=&bookid=140&offset=32&count=7&bookid=140&location=1,IGBulg V,5926,Regions,IGBulg V 5926,,,6,"relief.1




","ἔτους {²Hermes}² θπρ.
Ἀρτεμίδωρος
Μουκασου τοὺς
ναοὺς τῇ Συρίᾳ θεῷ
καὶ Διοσκόροις
εὐξάμενος.",Makedonia (Sintike),,,Prov. unkn. (Mid. Strymon R. Valley),157/158 AD,157/158 AD,SEG 28.552,
/text/152203?location=1&patt=&bookid=140&offset=32&count=7&bookid=140&location=1,IGBulg V,5927,Regions,IGBulg V 5927,,,3,"below relief.1

","Πυρουσαλα Τίτῳ οἱῷ {²⁶υἱῷ}²⁶ κατυχομένῳ,
ἑαυτῇ δὲ καὶ τοῖς τέκνυς ζῶσιν. ἔτι
∙Ι∙ΖΜ.",Makedonia (Sintike),,,Prov. unkn. (Mid. Strymon R. Valley),undated,,,
/text/152204?location=1&patt=&bookid=140&offset=39&count=2&bookid=140&location=1,IGBulg V,5931,Regions,IGBulg V 5931,,,2,"below relief.1
","Θευδᾶς Κοπρύλλῳ
τῷ τ<έκνῳ> {⁴ΤΩΤ vacat}⁴.",Makedonia,,,Prov. unkn. (Strymon R. Valley),2nd/3rd c. AD,2nd/3rd c. AD,SEG 34.685,
/text/152205?location=1&patt=&bookid=140&offset=39&count=2&bookid=140&location=1,IGBulg V,5932,Regions,IGBulg V 5932,,,3,"below relief.1

","Γάϊος ὁ καὶ Κερδωλας Βή-
ρῳ τῷ υἱῷ μνείας χά-
ριν.",Makedonia,,,Prov. unkn. (Strymon R. Valley),late 2nd/early 3rd c. AD (bef. 212),late 2nd/early 3rd c. AD (bef. 212),SEG 34.686,
/text/170359?location=1&patt=&bookid=140&offset=41&count=2&bookid=140&location=1,IGBulg V,5003,Regions,IGBulg V 5003,,,3,"1

","Ἀντίγονος Ἡρακλείτου Στυβερ-
ραῖος Μακεδὼν ὑπὲρ βασιλέως
Σαριακου Διοσκούροις σωτῆρσιν.",Bizone (Kavarna),,,Tirizis (Kaliakra),2nd c. BC,2nd c. BC,SEG 35.821,
/text/170360?location=1&patt=&bookid=140&offset=41&count=2&bookid=140&location=1,IGBulg V,5004,Regions,IGBulg V 5004,,,5,"1



5","ἀγαθῇ τύχῃ.
τὴν Αὐγοῦσταν Σαβ̣[ινί]-
αν Τρανκυλλεῖναν [Σε]-
βαστὴν βου[λ]ὴ δῆμ̣[ος]
Μαρκιανοπο̣λειτ[ῶν].",Bizone (Kavarna),,,Tirizis (Kaliakra),241-244 AD,241-244 AD,,
/text/170361?location=1&patt=&bookid=140&bookid=140&location=1,IGBulg V,5004bis,Regions,IGBulg V 5004bis,,,2,"below relief.1
","Ἀθήνων ὑπὲρ ἑαυτοῦ καὶ Θεμιστώνα-
[κτ]ος καὶ Τιμώνακτος ΜΑΧΙΟΠΑΙΔΙ․․Ρ[—](?).",Bizone (Kavarna),,,Tirizis (Kaliakra),2nd c. BC,2nd c. BC,SEG 47.1118,
/text/170362?location=1&patt=&bookid=140&offset=44&count=2&bookid=140&location=1,IGBulg V,5011,Regions,IGBulg V 5011,,,32,"1



5




10




15




20




25




30

","ἀγαθῇ τύχηι.
ἱερωμένης Λητοῦς, μη-
νὸς Ταυρεῶνος εἰκάδι δευ-
τέρᾳ, οἱ ἀποσταλέντες ὁριοθέ-
ται ὑπὸ βασιλέως Κοτυος· Φίλιπ̣-
πος Ἀριστείδου Ἀδραμυτηνός,
Μόσχος Διντα Βιζυηνός, Σαδα-
λας Μοκαπορεως ὁ καταστάμε-
νος στρατηγὸς ἐν Αρσηῳ, καὶ ἀπὸ
τῶν δήμων· ἐξ Ὀδησοῦ {²⁶Ὀδησσοῦ}²⁶· Μένανδρος
Προμαθίωνος, Λεόκριτος Ἱππαγόρου,
ἐγ δὲ Καλλάτειδος· Ἡράκλειτος Μονί-
[μο]υ̣, Γεροντίδας Σείμου, οἵτινες μαθόν-
[τες ἐ]κ τῶν ἀρχαίων γραμμάτων καὶ ἐλ-
[θόντ]ες ἐπὶ τὰ ὅρια ὁριοθετήσαμεν ἀπὸ
[τῶν Π]ευκῶν τὴν φέρουσαν ἐπὶ τὴν νέαν πό-
[λιν] Α̣ὐτοπτιστὰς καὶ ἀπὸ τῶν Αὐτοπτιστῶν
[τὴν φέρ]ουσαν ἐπὶ Σκηρηζιν καὶ ἀπὸ Σκηρη-
[ζεως ἁ]μαξήλατον τὴν φέρουσαν ἐπὶ τὸν τά-
[φον τοῦ] σκοπεύοντος τὴν χώραν καὶ ἀπὸ τοῦ
[τάφου] τὴν φέρουσαν ἁμαξήλατον ἐπὶ Καρ-
[βατε]ιδα καὶ ἀπὸ Καρβατειδος τὴν φέρουσαν̣
[ἐπὶ τ]ὰ ἀρχαῖα ὅρια Καλλατιανῶν καὶ Διονυ-
[σοπ]ολειτῶν καὶ ἀπὸ τῶν ὁρίων τούτων
[τ]ὴ̣ν̣ φέρουσαν ἔξω Ἄκρας ἐπὶ τὸ Νυμφαῖ-
ον, ταῦτα κρείνομεν μαθόντες ἐκ τῶν
ἀρχαίων γραμμάτων εἶναι Διονυσο-
πολειτῶν καὶ δημοσίων {ων} τῶν ἠγο-
ρ̣α̣κότων τὸν Πόντον, τὸ δὲ Ἀφροδεί-
σ̣ιον συνεχώρησαν χρήσει Διο-
νυσοπολεῖται βασιλεῖ Κοτυι εἰσς
τὸ Πονπῖον.",Dionysopolis (Balchik),,,bef. 19 AD,bef. 19 AD,SEG 37.607 (excerpt),SEG 47.1120,
/text/170363?location=1&patt=&bookid=140&offset=44&count=2&bookid=140&location=1,IGBulg V,5012,Regions,IGBulg V 5012,,,2,"below relief.2
above relief.1","Αὐρ(ήλιος) Κεκιλιανὸς θεε͂ς
Νύμφες ἀνέθηκα.",Dionysopolis (Balchik),,,Rogachevo,,,,
/text/170364?location=1&patt=&bookid=140&offset=46&count=2&bookid=140&location=1,IGBulg V,5023,Regions,IGBulg V 5023,,,11,"
1



5




10","[— — — — — — — — — —]
[․․․․]Σ․․Ι̣ΕΛ[— — — —]
δ̣ιδόντων εα[— — — — —]
τρόπου τῶν χρι̣[— {²⁷χρη̣[— —]}²⁷ — —]
․αγέντων τω[— — — —]
σ̣των συνεβησ[— — — —]
διόλου τε πρε[— — — —]
[κ]αὶ πρὸς τοὺς π̣[— — —]
[— — —]ε καὶ π̣ρ̣ὸ̣[ς — —]
[— — — —]τ̣[— — — — —]
[— — — — — — — — — —]",Odessos (Varna),,,2nd c. BC,2nd c. BC,,,
/text/170365?location=1&patt=&bookid=140&offset=46&count=2&bookid=140&location=1,IGBulg V,5024,Regions,IGBulg V 5024,,,5,"1



5","[ἐπὶ ἱ]έρεω Ζῆνε[ι — — — — —]
δό[γμα].
[ἐπει]δὴ Ἀρτ[— — — — — — —]
[— —]ο̣ν̣ω̣ν̣[— — — — — — —]
[— — — — — — — — — — — —]",Odessos (Varna),,,19/18 BC?,19/18 BC?,,,
/text/170366?location=1&patt=&bookid=140&bookid=140&location=1,IGBulg V,5030,Regions,IGBulg V 5030,,,10,"1



5




10","ἀγα̣[θῇ τύχῃ].
Ἰούλιος Σεουῆρος [ἄρχουσι]
[βο]υ̣λ̣ῇ δήμῳ ❦ χαί[ρειν]·
[— τῶν] ὑπομνημάτων [— — — — — — —]
[— —]․․ν ὑπάρξει ὑμ[ῖν — — — — — — —]
[— — σύν]δ̣ικος {²⁷[ἔκ]δ̣ικος}²⁷ τῆς πόλ̣[εως — — —]
[— — τοὺ]ς ἄρχοντα[ς — — — — — — — —]
[— — — — κα]λ̣ῶς τὰ τ̣[ῆς πόλεως πράγμα]-
[τα — — — — — — — — — — — — — — — —]
[— — — — — — — — — — — — — — — — —]",Odessos (Varna),,,159/160 AD,159/160 AD,SEG 28.613,,
/text/170367?location=1&patt=&bookid=140&offset=49&count=4&bookid=140&location=1,IGBulg V,5038,Regions,IGBulg V 5038,,,8,"1



5


","ἀγαθῇ τύχῃ.
Ἡφαιστίων καὶ Ἑ[ρ]-
μάφιλος οἱ Ἡφαιστ̣[ί]-
ωνος Ἡρακλεῖ Κα[λ]-
λινείκῳ ὑπὲρ ἑ[αυ]-
τῶν καὶ τῶν ἰδί[ων]
εὐχαριστήρι[ον]
ἀνέθηκαν.",Odessos (Varna),,,ca. 221 AD,ca. 221 AD,SEG 28.616,,
/text/170368?location=1&patt=&bookid=140&offset=49&count=4&bookid=140&location=1,IGBulg V,5039,Regions,IGBulg V 5039,,,2,"below relief.1
","[Ἀσκληπι]ὲ χρυσεοχαῖτα
[— — — — —]ι̣νιανός.",Odessos (Varna),,,SEG 28.615,,,,
